Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
Front End Developer ( Angular ),Full Time,On-site,N/A,Posted 2 months ago,100,1 open position,3 To 20 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Agile Angular front-end
Digital Marketing Manager,Full Time,On-site,,Posted 25 days ago,27,1 open position,3 To 5 Years,Manager,Not Specified,"Confidential, Medical Insurance",Marketing/PR/Advertising,Digital Marketing E-Marketing Google Ads Marketing media Social Media Brand Mass Media Advertising Media Advertising Digital digital marketing Ads Content
Business Development Manager,Full Time,On-site,,Posted 1 month ago,32,1 open position,4 To 10 Years,Experienced (Non-Manager),Not Specified,"Confidential, 1. End Of Year Bonus",Business Development,Business Development Sales sales skills Manager Development Business development manager
Corporate English Instructor,Freelance / Project,On-site,,Posted 2 months ago,15,3 open positions,3 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Education/Teaching,English Teacher Education English Instructor IELTS TOEFL Teaching
IT Coordinator,Full Time,On-site,,Posted 15 days ago,78,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,IT/Software Development,Information Technology (IT) IT Systems Microsoft Office computer Computer Science IT Information technology Coordination Project Management
Motion Graphic Designer,Full Time,On-site,,Posted 2 months ago,73,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,3D Adobe After Effects Adobe Photoshop Creative Design Graphic Design Motion Graphics graphics After Effects Adobe illustrator adobe Software
Real Estate Sales Agent,Full Time,On-site,,Posted 1 day ago,Be the First to Apply,N/A,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"6000 To 10000 EGP Per Month, Confidential, Basic Salary + Very Competitive Commission Incentives And Medical Insurance",Customer Service/Support,Customer Service Sales sales skills Sales Target Real Estate
QA Manager,Full Time,On-site,,Posted 2 months ago,26,1 open position,15 To 18 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Quality Control Engineering ISO 9001
Commercial Manager (Maadi),Full Time,On-site,,Posted 14 days ago,29,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Bonus On Leads Targets Achievements Commissions On Sales Achievements",Business Development,Business Development Sales Skills Business Communication Management Negotiation Microsoft Office English Marketing Sales Sales Target
clinic moderator,Full Time,On-site,,Posted 7 days ago,30,1 open position,2 To 4 Years,Manager,Not Specified,Confidential,Administration,Customer Support Front Office Management Clinic Management
Public Relations Officer,Full Time,On-site,,Posted 1 month ago,48,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Administration business Business Administration Communication Communication skills Public Relations (PR) Public Relations Social Media English Marketing
Project Manager,Full Time,Hybrid,,Posted 1 month ago,128,2 open positions,More Than 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,PMP Project Management business Project Management Software Information Technology (IT)
Accounting Manager,Full Time,On-site,,Posted 1 month ago,311,1 open position,2 To 6 Years,Manager,Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Finance excel Arabic Computer Skills English Financial Financial Analysis Financial Management Financial Reporting MS Excel Reporting
SEO Internship,Internship,On-site,,Posted 11 days ago,52,1 open position,Not Specified,Student (Undergrad / Postgrad),High School (Or Equivalent),"Paid, Non Paid Internship",Writing/Editorial,SEO Content Marketing Search Engine Optimization internship Google Analytics E-Marketing Social Media Communication skills
Production Manager,Full Time,On-site,,Posted 17 days ago,60,1 open position,2 To 5 Years,Manager,Not Specified,Confidential,Manufacturing/Production,Production Manager Production Leadership Management
Maintenance Manager,Full Time,On-site,,Posted 25 days ago,105,1 open position,More Than 10 Years,Manager,Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Maintenance Mechanical Engineering Engineering Installation Diagnosing Mechanical Health & Safety
GL Junior Accountant,Full Time,On-site,N/A,Posted 1 month ago,119,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Over Time - Medical Insurance - Social Insurance",Accounting/Finance,accountant Accounting Junior Accountant Finance Odoo analytical Reporting Commerce Financial Financial Analysis Financial Reporting Microsoft Office
Sales Representative,Full Time,On-site,,Posted 2 months ago,19,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,6000 To 8000 EGP Per Month,Sales/Retail,Sales sales skills Fashion Sales Target Customer Service Communication skills Experience Communication Retail
Low Current Section Head,Full Time,Hybrid,,Posted 2 months ago,46,1 open position,5 To 10 Years,Manager,Bachelor'S Degree,"Confidential, Commissions, Bonuses",Engineering - Construction/Civil/Architecture,AutoCAD Light Current English Engineering Networks Computer Science Electrical Engineering Communication skills Light Current Systems
Gift Box Manufacturing Technician - ( Saudi Arabia - Jeddah ),Full Time,On-site,,Posted 1 month ago,Be the First to Apply,N/A,3 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,gift box leather
Electrical technical office,Full Time,On-site,N/A,Posted 1 month ago,15,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,English Microsoft Office Communication Electrical Engineering Engineering Construction Engineering Construction Electrical Technical Office Auto cad AutoCAD Skills
IT Sales,Full Time,Remote,,Posted 1 month ago,28,2 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Commission & Bonuses.",IT/Software Development,IT sales Information Technology (IT) sales skills Sales Presales
Rider Support Coordinator - QA,Full Time,On-site,,Posted 3 days ago,11,3 open positions,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,Communication skills Communication Customer Service Customer Support Customer Care Troubleshooting
Electrical Engineer,Full Time,On-site,,Posted 2 months ago,51,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,Engineering Maintenance Mechanical Engineering PLC Electrical Engineering Electrical BMS SAP Troubleshooting Project
media buyer,Full Time,On-site,,Posted 2 months ago,20,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Digital Marketing digital media Marketing
CFO,Full Time,On-site,,Posted 10 days ago,140,1 open position,15 To 20 Years,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,Confidential,Operations/Management,CFO Accounting Management Financial Management Financial Analysis Financial Finance Data Analysis
Logistics Manager,Full Time,On-site,,Posted 21 days ago,187,1 open position,More Than 5 Years,Manager,Not Specified,"Confidential, 2 Months Incentive",Logistics/Supply Chain,Logistics Custom Clearance Supply Chain
Customer Service Assistant,Full Time,On-site,,Posted 2 days ago,18,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,Communication Customer Care Customer Support Customer Service Management Service Sales Presentation Education Customer
Quality Control Engineer,Full Time,On-site,,Posted 1 month ago,84,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Quarterly Performance Bonus Transportation Medical, Life And Social Insurance",Quality,Analysis Chemistry Control quality Quality Control Science Testing
Senior Business Analyst,Full Time,Hybrid,,Posted 23 days ago,69,2 open positions,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Business Analysis Information Technology (IT) Engineering Software Development Software Software Engineering Computer Science Computer Engineering
Accounting Manager,Full Time,On-site,N/A,Posted 1 month ago,305,1 open position,10 To 15 Years,Manager,Not Specified,Confidential,Accounting/Finance,CMA Accounting Analysis Finance Communication skills Financial Analysis Financial Management CPA Financial Business Administration
Planning and follow-up Engineer,Full Time,On-site,,Posted 1 month ago,45,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Manufacturing/Production,Planning Engineering Production ERP System Microsoft Excel Manufacturing Sheet Metal Administration
Receptionist,Full Time,On-site,,Posted 2 months ago,82,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,10000 To 11000 EGP Per Month,Administration,Admin Administration English Office management
Solution Architect,Full Time,On-site,,Posted 3 days ago,Be the First to Apply,N/A,10 To 20 Years,Manager,Not Specified,Confidential,IT/Software Development,Computer Engineering Computer Science Information Technology (IT) Software Development Architecture Software Engineering Software Engineering Cloud Azure AWS Agile
Production Manager,Full Time,On-site,,Posted 2 months ago,196,1 open position,5 To 15 Years,Manager,Bachelor'S Degree,"Confidential, Salary Based On Experience",Operations/Management,Management Manufacturing Production Quality Standards Budgeting Communication Engineering Health Health & safety quality Safety
"Content Manager, YouTube",Full Time,Remote,,Posted 2 months ago,118,1 open position,3 To 7 Years,Manager,Bachelor'S Degree,600 To 1000 USD Per Month,Writing/Editorial,YouTube Enterteinment content Content Management Content Editing SEO Social Media Video Editing Content Management Systems Management Marketing Communication media
Webs Designer,Full Time,On-site,,Posted 25 days ago,104,5 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,8000 To 10000 EGP Per Month,Creative/Design/Art,Adobe illustrator Adobe Photoshop WordPress CSS Web Design illustrator photoshop Computer Science HTML Information Technology (IT) Web Development Development Design
Sales Executive - Tires - Cairo / Alex / Delta,Full Time,Remote,,Posted 1 month ago,30,3 open positions,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,Sales Tires
Online Video Editor (Remote),Full Time,Remote,Edutech Labs Fze,Posted 1 month ago,211,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 15000 EGP Per Month,Creative/Design/Art,Adobe Premiere Design final cut Video Editor
Market Researcher,Full Time,On-site,,Posted 1 month ago,76,2 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Males Preferred,Marketing/PR/Advertising,Communication E-Marketing Marketing SEO Skills Social Media Sales Computer Skills Research MS Office Market Research Analyst Analysis Marketing Analyst
Training Coordinator - Field Trainer,Full Time,On-site,,Posted 2 months ago,29,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Hospitality/Hotels/Food Services,field traing Sales Training convenience stors
senior design engineer,Full Time,On-site,,Posted 15 days ago,23,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Manufacturing/Production,Design Engineering AutoCAD Mechanical Engineering
Shop Maintenance Engineer,Full Time,On-site,,Posted 2 months ago,24,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,6000 To 8000 EGP Per Month,Installation/Maintenance/Repair,Procurement Engineering Maintenance Maintenance Engineering AutoCAD Electric Panels Mechanical Engineering Panels Electric
Store Keeper,Full Time,On-site,,Posted 1 month ago,24,1 open position,5 To 10 Years,Experienced (Non-Manager),Not Specified,8000 To 12000 EGP Per Month,Administration,store store keeper Store Keeping Warehousing Computer Skills
Sales Account Executive,Part Time,Remote,,Posted 2 months ago,101,3 open positions,0 To 3 Years,Student (Undergrad / Postgrad),Bachelor'S Degree,"3000 To 12000 EGP Per Month, Commission Based",Sales/Retail,Account Account executive Executive Sales Sales Target sales skills Communication Customer Service English Fashion
Sr. Learning & Development Specialist.,Full Time,On-site,N/A,Posted 1 month ago,41,1 open position,4 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,Learning and development Training Training Programs TOT Human Resources (HR) learning
Accountant,Internship,On-site,,Posted 10 days ago,92,4 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Not Specified,"4000 To 4500 EGP Per Month, Fixed Salary+ Commission+ Social Insurance",Accounting/Finance,Accounting Finance accountant Financial Analysis Financial Management excel
Secretary,Full Time,On-site,,Posted 1 month ago,33,2 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Females Preferred,Administration,Microsoft Office Logistics
Internal Audit Lead,Full Time,On-site,,Posted 10 days ago,113,1 open position,3 To 5 Years,Manager,Bachelor'S Degree,Male,Accounting/Finance,Audit ITAudit external audit financial Industry
Marketing Advisor,Full Time,On-site,,Posted 2 days ago,5,3 open positions,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Marketing/PR/Advertising,Digital Marketing Online Marketing Customer Support Marketing Sales sales skills
Senior HR Executive,Full Time,Hybrid,,Posted 15 days ago,116,1 open position,5 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,Human Resources (HR) Performance Management Human Resources
Human Resource Manager,Full Time,On-site,,Posted 16 days ago,285,1 open position,6 To 10 Years,Manager,Not Specified,"Confidential, Negotiations",Human Resources,human resource Microsoft Office Recruitment Manager
BIM Architect,Full Time,On-site,,Posted 10 days ago,27,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, According To Revit Test",Engineering - Construction/Civil/Architecture,Architecture AutoCAD BIM Revit Architecture English Revit Drawings working drawings
Electrical technical office Engineer,Full Time,On-site,,Posted 25 days ago,23,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Electrical Design Electrical Engineering AutoCAD Electrical Engineering Projects
Junior Logistic Specialist,Full Time,On-site,N/A,Posted 1 month ago,93,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,Arabic English Logistics Microsoft Procurement Purchasing Skills Supply Chain
Sales Coordinator,Full Time,On-site,,Posted 2 months ago,14,2 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,Administration Microsoft Office Sales Sales Skills Sales Coordination Computer Skills Sales Coordinator Communication Coordinator Development Support Customer Service English
Outdoor Sales Agent,Full Time,On-site,,Posted 1 month ago,9,3 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"8000 To 12000 EGP Per Month, Commission & Bonus",Sales/Retail,sales skills Sales Target Sales
People Operations Manager,Full Time,Hybrid,,Posted 2 days ago,147,1 open position,7 To 10 Years,Manager,Bachelor'S Degree,Confidential,Customer Service/Support,Human Resources HR Recruitment Talent acquisition Communication Development business Human Resources (HR) Leadership Operations Management
Administrative Assistant,Full Time,On-site,N/A,Posted 1 month ago,132,2 open positions,5 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,Administration Assistant Admin Secretary administrative assistant administrative
Lighting technical office engineer,Full Time,On-site,N/A,Posted 2 days ago,7,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Lighting Design Communication skills Technical Office
Accounting Manager ( Construction ) Preferably from October City,Full Time,On-site,,Posted 23 days ago,195,1 open position,8 To 15 Years,Manager,Bachelor'S Degree,Male,Accounting/Finance,accounting data Financial Accounting Accounting Transactions Financial Financial Analysis Financial Reports reports Financial Management Finance
Quality Assurance Specialist,Full Time,On-site,N/A,Posted 2 months ago,54,3 open positions,More Than 3 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,Education Quality Assurance Content Digital Quality Control
Receptionist,Full Time,On-site,,Posted 15 days ago,41,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,Administration Office Management Microsoft Office Admin Secretary Receptionist
Landscape Manager - Hospitality,Full Time,On-site,,Posted 9 days ago,16,1 open position,15 To 20 Years,Manager,Bachelor'S Degree,100000 To 120000 EGP Per Month,Engineering - Mechanical/Electrical,Design Landscape Landscape Design
Clinic Nurse,Full Time,On-site,El Alsson British & American International School,Posted 14 days ago,38,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Nursing Medical
Key Account Sales Supervisor (Software),Full Time,On-site,,Posted 1 month ago,34,1 open position,4 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Customer Service/Support,Account Management Key Account Sales Customer Service Communication skills Sales Target Sales Field Sales Management Sales Planning Sales Skills Communication Business Administration
IT technical support specialist,Full Time,On-site,,Posted 1 day ago,74,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Information Technology (IT) Linux Software technical Technical Support Cisco computer Computer Science Computer Systems Customer Support Help desk IT
HR Associate,Internship,On-site,,Posted 1 month ago,83,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Paid,Human Resources,Human Resources (HR) HR Recruitment Sourcing Leaves Microsoft Office
Social Media and Digital Marketing Specialist,Full Time,On-site,,Posted 2 months ago,114,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,3500 To 4000 SAR Per Month,Marketing/PR/Advertising,Digital Digital Marketing Digital Marketing Specialist E-Marketing social Marketing digital marketing Social Media marketing specialist Creative communications Communication
IB English Teacher For PYP-MYP-DP,Full Time,On-site,,Posted 2 months ago,64,2 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Education/Teaching,Teaching Education IB Teaching Diploma MYP Teacher English
"UPS, Power and Data Center Project Manager",Full Time,On-site,,Posted 25 days ago,39,4 open positions,More Than 6 Years,Manager,Bachelor'S Degree,Male,Installation/Maintenance/Repair,"CAD Electrical Electrical Engineering Engineering Installation Project Management Project Startup Troubleshooting technical Commissioning DCIM UPS MS Office Mechanical, Electrical, and Plumbing (MEP) MEP Engineering MEP Systems Electromechanical Engineering"
Accounting Manager,Full Time,On-site,,Posted 2 months ago,223,1 open position,8 To 10 Years,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Accounting/Finance,Accounting Accounting Software business ERP Finance Financial Analysis Financial Management General Ledger Financial
Senior Compensation & Benefits Specialist,Full Time,On-site,,Posted 7 days ago,22,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,"Confidential, 2.5 Months",Human Resources,Compensation Benefits Payroll
Quality Control Specialist - Furniture,Full Time,On-site,,Posted 2 months ago,48,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions & Bonuses",Manufacturing/Production,Furniture Quality Assurance Quality Control Control quality Wood
Receptionist,Full Time,On-site,,Posted 2 months ago,39,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Administration,Admin Communication Front Office Management Administration Microsoft Office Microsoft Office management receptionist Skills Office Equipment office
Internal Auditor,Full Time,On-site,,Posted 1 month ago,23,1 open position,2 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Males Preferred,Accounting/Finance,Auditing standards auditor Finance Accounting Internal auditor Procedures Financial Analysis Auditing analytical Computer Skills MS Office
Sales Manager,Full Time,On-site,,Posted 25 days ago,60,1 open position,5 To 10 Years,Manager,Not Specified,20000 To 25000 EGP Per Month,Business Development,Customer Service Manager Sales Sales Manager sales skills Sales Target
Digital Product Manager,Full Time,On-site,,Posted 1 day ago,6,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,business Computer Science Project Management Market Research Management Product software
Store Keeper,Full Time,On-site,,Posted 28 days ago,32,2 open positions,2 To 4 Years,Experienced (Non-Manager),Diploma,Confidential,Accounting/Finance,Logistics Operations Store Keeping Warehousing Supply Chain store keeper Oracle ERP Communication skills Store Operations
Collection Agent,Full Time,On-site,,Posted 2 months ago,13,1 open position,3 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Collection Accounting Communication Skills Customer Support Customer Care Customer Service Communication
